"x","y","name","country","population","popclass"
-47.8977,-15.7921,"Brasilia","Brazil",2207718,"1,000,000 to 4,999,999"
-68.1462,-16.499,"La Paz","Bolivia",812799,"500,000 to 999,999"
-176.1516,-13.2733,"Mata-Utu","Wallis & Futuna",-999,"Less than 50,000"
-171.7395,-13.837,"Apia","Samoa",40407,"Less than 50,000"
-170.6979,-14.2684,"Pago Pago","American Samoa",4196,"Less than 50,000"
-149.57,-17.535,"Papeete","French Polynesia",26357,"Less than 50,000"
-169.9167,-19.0167,"Alofi","Niue",624,"Less than 50,000"
-175.2457,-21.1309,"Nuku' alofa","Tonga",22400,"Less than 50,000"
-159.7667,-21.2333,"Avarua","Cook Is.",13373,"Less than 50,000"
-130.103,-25.066,"Adamstown","Pitcairn Is.",1281,"Less than 50,000"
-57.849,-51.701,"Stanley","Falkland Is.",2213,"Less than 50,000"
-70.6475,-33.475,"Santiago","Chile",4837295,"1,000,000 to 4,999,999"
-78.5243,-0.2295,"Quito","Ecuador",1399814,"1,000,000 to 4,999,999"
-77.045,-12.082,"Lima","Peru",7737002,"5,000,000 and greater"
-57.622,-25.305,"Asuncion","Paraguay",1482200,"1,000,000 to 4,999,999"
-58.4498,-34.6225,"Buenos Aires","Argentina",13076300,"5,000,000 and greater"
-56.17,-34.92,"Montevideo","Uruguay",1270737,"1,000,000 to 4,999,999"
-5.705,-15.922,"Jamestown","St. Helena",637,"Less than 50,000"
-99.1276,19.427,"Mexico City","Mexico",11285654,"5,000,000 and greater"
-90.5249,14.618,"Guatemala","Guatemala",994938,"500,000 to 999,999"
-81.3833,19.3,"George Town","Cayman Is.",29370,"Less than 50,000"
-64.7792,32.289,"Hamilton","Bermuda",902,"Less than 50,000"
-84.0786,9.9305,"San Jose","Costa Rica",335007,"250,000 to 499,999"
-70.026,12.525,"Oranjestad","Aruba",29998,"Less than 50,000"
-68.9706,12.1388,"Willemstad","Netherlands Antilles",125000,"100,000 to 249,999"
-79.5171,9.0029,"Panama","Panama",408168,"250,000 to 499,999"
-89.2002,13.7014,"San Salvador","El Salvador",525990,"500,000 to 999,999"
-87.203,14.099,"Tegucigalpa","Honduras",850848,"500,000 to 999,999"
-86.273,12.151,"Managua","Nicaragua",973087,"500,000 to 999,999"
-88.8,17.12,"Belmopan","Belize",13381,"Less than 50,000"
-71.1333,21.4667,"Grand Turk","Turks & Caicos Is.",3720,"Less than 50,000"
-76.7995,17.9669,"Kingston","Jamaica",937700,"500,000 to 999,999"
-72.3431,18.5266,"Port-au-Prince","Haiti",1234742,"1,000,000 to 4,999,999"
-69.899,18.489,"Santo Domingo","Dominican Republic",2201941,"1,000,000 to 4,999,999"
-74.0805,4.6302,"Bogota","Colombia",7102602,"5,000,000 and greater"
-77.34,25.067,"Nassau","The Bahamas",227940,"100,000 to 249,999"
-82.4165,23.049,"Havana","Cuba",2163824,"1,000,000 to 4,999,999"
-76.9538,38.8909,"Washington D.C.","United States",552433,"500,000 to 999,999"
-66.8983,10.496,"Caracas","Venezuela",1815679,"1,000,000 to 4,999,999"
-61.4901,10.6397,"Port of Spain","Trinidad & Tobago",49657,"Less than 50,000"
-58.17,6.77,"Georgetown","Guyana",235017,"100,000 to 249,999"
-64.6217,18.4091,"Road Town","British Virgin Is.",8449,"Less than 50,000"
-66.069,18.399,"San Juan","Puerto Rico",418140,"250,000 to 499,999"
-64.9333,18.35,"Charlotte Amalie","Virgin Is.",20000,"Less than 50,000"
-63.0667,18.2167,"The Valley","Anguilla",1378,"Less than 50,000"
-62.732,17.293,"Basseterre","St. Kitts & Nevis",12920,"Less than 50,000"
-61.8422,17.1248,"Saint John's","Antigua & Barbuda",24226,"Less than 50,000"
-62.201,16.68,"Plymouth","Montserrat",-999,"Less than 50,000"
-61.7243,16.0049,"Basse-Terre","Guadeloupe",11472,"Less than 50,000"
-61.3885,15.299,"Roseau","Dominica",16571,"Less than 50,000"
-61.076,14.6074,"Fort-De-France","Martinique",89995,"50,000 to 99,999"
-60.983,14,"Castries","St. Lucia",-999,"Less than 50,000"
-61.2293,13.1554,"Kingstown","St. Vincent & the Grenadines",24518,"Less than 50,000"
-59.6158,13.0959,"Bridgetown","Barbados",98511,"50,000 to 99,999"
-61.745,12.065,"Saint George's","Grenada",7500,"Less than 50,000"
-55.17,5.826,"Paramaribo","Suriname",223757,"100,000 to 249,999"
-52.33,4.935,"Cayenne","French Guiana",61550,"50,000 to 99,999"
-56.194,46.786,"Saint-Pierre","St. Pierre & Miquelon",6200,"Less than 50,000"
-75.651,45.374,"Ottawa","Canada",812129,"500,000 to 999,999"
-51.58,64.2712,"Nuuk","Greenland",14798,"Less than 50,000"
-2.5333,49.45,"St. Peter Port","Guernsey",16488,"Less than 50,000"
-2.1,49.1833,"St. Helier","Jersey",-999,"Less than 50,000"
-6.77,62.021,"Torshavn","Faroe Is.",13200,"Less than 50,000"
-21.895,64.135,"Reykjavik","Iceland",113906,"100,000 to 249,999"
-6.2573,53.3416,"Dublin","Ireland",1024027,"1,000,000 to 4,999,999"
-0.178,51.4879,"London","United Kingdom",7421209,"5,000,000 and greater"
-4.4792,54.1519,"Douglas","Isle of Man",-999,"Less than 50,000"
-23.521,14.923,"Praia","Cape Verde",113364,"100,000 to 249,999"
-6.833,34.015,"Rabat","Morocco",1655753,"1,000,000 to 4,999,999"
-9.13,38.73,"Lisbon","Portugal",517802,"500,000 to 999,999"
-3.691,40.4422,"Madrid","Spain",3117977,"1,000,000 to 4,999,999"
-5.352,36.129,"Gibraltar","Gibraltar",26544,"Less than 50,000"
-13.672,9.55,"Conakry","Guinea",1767200,"1,000,000 to 4,999,999"
-13.239,8.486,"Freetown","Sierra Leone",802639,"500,000 to 999,999"
-17.452,14.687,"Dakar","Senegal",2476400,"1,000,000 to 4,999,999"
-15.978,18.084,"Nouakchott","Mauritania",661400,"500,000 to 999,999"
-16.5968,13.464,"Banjul","The Gambia",34589,"Less than 50,000"
-15.598,11.864,"Bissau","Guinea-Bissau",388028,"250,000 to 499,999"
-7.9865,12.653,"Bamako","Mali",1297281,"1,000,000 to 4,999,999"
-1.67,12.48,"Ouagadougou","Burkina Faso",1086505,"1,000,000 to 4,999,999"
-10.797,6.301,"Monrovia","Liberia",939524,"500,000 to 999,999"
-5.283,6.818,"Yamoussoukro","Cote d'Ivoire",194530,"100,000 to 249,999"
-0.2009,5.5586,"Accra","Ghana",1963264,"1,000,000 to 4,999,999"
6.728,0.337,"Sao Tome","Sao Tome & Principe",53300,"50,000 to 99,999"
8.7726,3.7436,"Malabo","Equatorial Guinea",155963,"100,000 to 249,999"
9.454,0.391,"Libreville","Gabon",578156,"500,000 to 999,999"
2.6325,6.6011,"Porto Novo","Benin",234168,"100,000 to 249,999"
1.2015,6.1028,"Lome","Togo",749700,"500,000 to 999,999"
7.2564,9.0573,"Abuja","Nigeria",162135,"100,000 to 249,999"
2.12,13.514,"Niamey","Niger",774235,"500,000 to 999,999"
15.2408,12.1041,"Ndjamena","Chad",721081,"500,000 to 999,999"
18.5623,4.3659,"Bangui","Central African Republic",542393,"500,000 to 999,999"
11.514,3.865,"Yaounde","Cameroon",1299369,"1,000,000 to 4,999,999"
3.05,36.7833,"Algiers","Algeria",1977663,"1,000,000 to 4,999,999"
1.5167,42.5,"Andorra La Valla","Andorra",20430,"Less than 50,000"
7.424,43.745,"Monaco","Monaco",1020,"Less than 50,000"
10.166,36.819,"Tunis","Tunisia",693210,"500,000 to 999,999"
14.504,35.913,"Valletta","Malta",6794,"Less than 50,000"
12.4667,43.9167,"San Marino","San Marino",29000,"Less than 50,000"
12.52,41.88,"Rome","Italy",2563241,"1,000,000 to 4,999,999"
18.43,43.87,"Sarajevo","Bosnia & Herzegovina",696731,"500,000 to 999,999"
20.4126,44.7997,"Belgrade","Serbia",1273651,"1,000,000 to 4,999,999"
19.4,42.5,"Podgorica","Montenegro",136473,"100,000 to 249,999"
21.4333,41.9833,"Skopje","FYR of Macedonia",474889,"250,000 to 499,999"
19.832,41.332,"Tirana","Albania",374801,"250,000 to 499,999"
13.1569,32.8931,"Tripoli","Libya",1150989,"1,000,000 to 4,999,999"
32.853,39.929,"Ankara","Turkey",3517182,"1,000,000 to 4,999,999"
33.369,35.171,"Nicosia","Cyprus",200452,"100,000 to 249,999"
31.2508,30.0779,"Cairo","Egypt",7734614,"5,000,000 and greater"
23.653,37.944,"Athens","Greece",729137,"500,000 to 999,999"
23.3319,42.7073,"Sofia","Bulgaria",1152556,"1,000,000 to 4,999,999"
26.123,44.4305,"Bucharest","Romania",1877155,"1,000,000 to 4,999,999"
35.5,33.8833,"Beirut","Lebanon",1916100,"1,000,000 to 4,999,999"
44.7831,41.7218,"T'Bilisi","Georgia",1049498,"1,000,000 to 4,999,999"
44.5327,40.208,"Yerevan","Armenia",1093485,"1,000,000 to 4,999,999"
36.3,33.5,"Damascus","Syria",1569394,"1,000,000 to 4,999,999"
35.9329,31.9494,"Amman","Jordan",1275857,"1,000,000 to 4,999,999"
35.2252,31.7737,"Jerusalem","Israel",714000,"500,000 to 999,999"
44.398,33.334,"Baghdad","Iraq",5672513,"5,000,000 and greater"
32.575,0.323,"Kampala","Uganda",1353189,"1,000,000 to 4,999,999"
32.53,15.55,"Khartoum","Sudan",1974647,"1,000,000 to 4,999,999"
38.97,15.33,"Asmara","Eritrea",563930,"500,000 to 999,999"
44.2095,15.3614,"Sanaa","Yemen",1937451,"1,000,000 to 4,999,999"
43.1,11.5,"Djibouti","Djibouti",623891,"500,000 to 999,999"
38.7,9.03,"Addis Ababa","Ethiopia",2757729,"1,000,000 to 4,999,999"
2.433,48.882,"Paris","France",2138551,"1,000,000 to 4,999,999"
4.368,50.837,"Brussels","Belgium",1019022,"1,000,000 to 4,999,999"
4.8948,52.373,"Amsterdam","Netherlands",741636,"500,000 to 999,999"
7.446,46.948,"Bern","Switzerland",121631,"100,000 to 249,999"
6.12,49.608,"Luxembourg","Luxembourg",76684,"50,000 to 99,999"
9.521,47.143,"Vaduz","Liechtenstein",5197,"Less than 50,000"
10.712,59.938,"Oslo","Norway",580000,"500,000 to 999,999"
17.9915,59.3312,"Stockholm","Sweden",1253309,"1,000,000 to 4,999,999"
14.457,50.106,"Prague","Czech Republic",1165581,"1,000,000 to 4,999,999"
16.321,48.2021,"Vienna","Austria",1569316,"1,000,000 to 4,999,999"
14.6396,46.0683,"Ljubljana","Slovenia",255115,"250,000 to 499,999"
15.964,45.807,"Zagreb","Croatia",698966,"500,000 to 999,999"
13.3276,52.5163,"Berlin","Germany",3426354,"1,000,000 to 4,999,999"
12.55,55.72,"Copenhagen","Denmark",1153615,"1,000,000 to 4,999,999"
21.0119,52.2449,"Warsaw","Poland",1702139,"1,000,000 to 4,999,999"
17.13,48.15,"Bratislava","Slovakia",423737,"250,000 to 499,999"
19.094,47.515,"Budapest","Hungary",1696128,"1,000,000 to 4,999,999"
15.66,78.2,"Longyearbyen","Svalbard",1232,"Less than 50,000"
27.5756,53.8999,"Minsk","Belarus",1742124,"1,000,000 to 4,999,999"
25.276,54.6886,"Vilnius","Lithuania",542366,"500,000 to 999,999"
30.5021,50.4482,"Kyiv","Ukraine",2514227,"1,000,000 to 4,999,999"
28.83,47,"Chisinau","Moldova",635994,"500,000 to 999,999"
24.9767,60.1964,"Helsinki","Finland",558457,"500,000 to 999,999"
24.75,59.4167,"Tallinn","Estonia",394024,"250,000 to 499,999"
24.05,56.88,"Riga","Latvia",742572,"500,000 to 999,999"
37.7,55.75,"Moscow","Russia",10381222,"5,000,000 and greater"
71.432,51.189,"Astana","Kazakhstan",345604,"250,000 to 499,999"
51.448,35.774,"Tehran","Iran",7153309,"5,000,000 and greater"
45.3441,2.0412,"Mogadishu","Somalia",2587183,"1,000,000 to 4,999,999"
47.974,29.3859,"Kuwait","Kuwait",60064,"50,000 to 99,999"
50.5833,26.2167,"Manama","Bahrain",147074,"100,000 to 249,999"
46.77,24.65,"Riyadh","Saudi Arabia",4205961,"1,000,000 to 4,999,999"
51.5323,25.2844,"Doha","Qatar",344939,"250,000 to 499,999"
54.371,24.476,"Abu Dhabi","United Arab Emirates",603492,"500,000 to 999,999"
49.816,40.324,"Baku","Azerbaijan",1116513,"1,000,000 to 4,999,999"
58.3901,37.9504,"Ashgabat","Turkmenistan",727700,"500,000 to 999,999"
58.588,23.607,"Muscat","Oman",797000,"500,000 to 999,999"
77.2168,28.5687,"New Delhi","India",317797,"250,000 to 499,999"
73.0605,33.7182,"Islamabad","Pakistan",601600,"500,000 to 999,999"
74.77,42.88,"Bishkek","Kyrgyzstan",900000,"500,000 to 999,999"
68.9,38.63,"Dushanbe","Tajikistan",543107,"500,000 to 999,999"
69.1368,34.5309,"Kabul","Afghanistan",3043532,"1,000,000 to 4,999,999"
69.3499,41.2479,"Tashkent","Uzbekistan",1978028,"1,000,000 to 4,999,999"
85.313,27.712,"Kathmandu","Nepal",1442271,"1,000,000 to 4,999,999"
89.667,27.443,"Thimphu","Bhutan",98676,"50,000 to 99,999"
79.848,6.927,"Colombo","Sri Lanka",648034,"500,000 to 999,999"
134.4917,7.3406,"Koror","Palau",-999,"Less than 50,000"
96.1249,16.8722,"Rangoon","Myanmar",4477638,"1,000,000 to 4,999,999"
100.5167,13.75,"Bangkok","Thailand",5104476,"5,000,000 and greater"
104.9132,11.5647,"Phnom Penh","Cambodia",1573544,"1,000,000 to 4,999,999"
102.6802,18.0017,"Vientiane","Laos",196731,"100,000 to 249,999"
105.82,21.03,"Hanoi","Vietnam",1431270,"1,000,000 to 4,999,999"
101.708,3.15,"Kuala Lumpur","Malaysia",1453975,"1,000,000 to 4,999,999"
103.8318,1.2689,"Singapore","Singapore",3547809,"1,000,000 to 4,999,999"
90.4071,23.7099,"Dhaka","Bangladesh",10356500,"5,000,000 and greater"
116.388,39.9062,"Beijing","China",7480601,"5,000,000 and greater"
125.757,39.029,"P'yongyang","North Korea",3222000,"1,000,000 to 4,999,999"
126.9352,37.5424,"Seoul","South Korea",10349312,"5,000,000 and greater"
120.9669,14.6167,"Manila","Philippines",10444527,"5,000,000 and greater"
114.967,4.933,"Bandar Seri Begawan","Brunei",64409,"50,000 to 99,999"
106.912,47.929,"Ulaanbaatar","Mongolia",844818,"500,000 to 999,999"
171.3677,7.121,"Majuro","Marshall Is.",20500,"Less than 50,000"
158.2167,6.9667,"Palikir","Micronesia",4645,"Less than 50,000"
172.9211,1.3408,"Tarawa","Kiribati",44429,"Less than 50,000"
145.735,15.15,"Saipan","Northern Mariana Is.",-999,"Less than 50,000"
144.747,13.467,"Hagatna","Guam",1051,"Less than 50,000"
139.809,35.683,"Tokyo","Japan",8336599,"5,000,000 and greater"
43.243,-11.7,"Moroni","Comoros",42872,"Less than 50,000"
31.02,-17.83,"Harare","Zimbabwe",1542813,"1,000,000 to 4,999,999"
17.077,-22.56,"Windhoek","Namibia",268132,"250,000 to 499,999"
15.2851,-4.2852,"Brazzaville","Congo",1284609,"1,000,000 to 4,999,999"
15.299,-4.321,"Kinshasa","Congo, DRC",7785965,"5,000,000 and greater"
13.235,-8.812,"Luanda","Angola",2776168,"1,000,000 to 4,999,999"
28.17,-15.43,"Lusaka","Zambia",1267440,"1,000,000 to 4,999,999"
29.356,-3.372,"Bujumbura","Burundi",331700,"250,000 to 499,999"
30.059,-1.95,"Kigali","Rwanda",745261,"500,000 to 999,999"
39.2533,-6.8174,"Dar es Salaam","Tanzania",2698652,"1,000,000 to 4,999,999"
36.804,-1.27,"Nairobi","Kenya",2750547,"1,000,000 to 4,999,999"
33.774,-13.983,"Lilongwe","Malawi",646750,"500,000 to 999,999"
32.574,-25.962,"Maputo","Mozambique",1191613,"1,000,000 to 4,999,999"
31.1913,-26.3034,"Mbabane","Swaziland",76218,"50,000 to 99,999"
25.9508,-24.6399,"Gaborone","Botswana",208411,"100,000 to 249,999"
27.492,-29.308,"Maseru","Lesotho",118355,"100,000 to 249,999"
28.218,-25.731,"Pretoria","South Africa",1619438,"1,000,000 to 4,999,999"
45.2833,-12.7833,"Mamoutzou","Mayotte",54831,"50,000 to 99,999"
55.45,-20.8667,"Saint-Denis","Reunion",137195,"100,000 to 249,999"
55.445,-4.617,"Victoria","Seychelles",22881,"Less than 50,000"
47.528,-18.908,"Antananarivo","Madagascar",1391433,"1,000,000 to 4,999,999"
57.496,-20.165,"Port Louis","Mauritius",155226,"100,000 to 249,999"
96.8261,-12.1575,"West Island","Cocos Is.",-999,"Less than 50,000"
105.7167,-10.4167,"The Settlement","Christmas I.",-999,"Less than 50,000"
106.8,-6.1667,"Jakarta","Indonesia",8540121,"5,000,000 and greater"
125.581,-8.571,"Dili","Timor Leste",150000,"100,000 to 249,999"
167.963,-29.0638,"Kingston","Norfolk I.",-999,"Less than 50,000"
174.8072,-41.3348,"Wellington","New Zealand",381900,"250,000 to 499,999"
149.042,-35.35,"Canberra","Australia",327700,"250,000 to 499,999"
147.1479,-9.4972,"Port Moresby","Papua New Guinea",283733,"250,000 to 499,999"
179.2219,-8.5365,"Funafuti","Tuvalu",4749,"Less than 50,000"
159.9518,-9.4338,"Honiara","Solomon Is.",56298,"50,000 to 99,999"
168.321,-17.74,"Port Vila","Vanuatu",35901,"Less than 50,000"
178.4477,-18.1345,"Suva","Fiji",77366,"50,000 to 99,999"
165.5,-21.5,"Noumea","New Caledonia",93060,"50,000 to 99,999"
166.9167,-0.5167,"Yaren","Nauru",-999,"Less than 50,000"
31.5971,4.8441,"Juba","South Sudan",300000,"250,000 to 499,999"
